iter	Passed	Remaining
0	8	8703
1	15	7874
2	22	7349
3	28	7057
4	34	6823
5	40	6687
6	47	6698
7	53	6676
8	60	6618
9	66	6579
10	72	6534
11	78	6485
12	84	6431
13	90	6376
14	96	6361
15	103	6380
16	108	6253
17	114	6226
18	120	6220
19	126	6203
20	132	6186
21	139	6197
22	145	6177
23	149	6096
24	156	6085
25	162	6073
26	168	6062
27	174	6048
28	180	6037
29	186	6020
30	192	6025
31	198	6013
32	205	6025
33	211	6016
34	218	6022
35	224	6010
36	230	6007
37	236	5996
38	243	5989
39	249	5980
40	256	5991
41	262	5978
42	268	5975
43	274	5968
44	280	5956
45	286	5947
46	292	5936
47	298	5925
48	305	5929
49	311	5919
50	317	5913
51	323	5901
52	330	5902
53	336	5898
54	343	5898
55	349	5890
56	355	5882
57	361	5874
58	367	5865
59	373	5856
60	379	5848
61	385	5838
62	392	5830
63	398	5821
64	402	5789
65	408	5780
66	414	5772
67	421	5772
68	427	5765
69	433	5756
70	439	5750
71	445	5743
72	451	5735
73	457	5728
74	464	5726
75	470	5719
76	477	5719
77	483	5710
78	489	5701
79	495	5695
80	501	5687
81	507	5684
82	510	5635
83	516	5628
84	522	5629
85	529	5623
86	535	5622
87	542	5620
88	548	5616
89	554	5610
90	561	5610
91	567	5605
92	575	5609
93	581	5601
94	587	5595
95	593	5591
96	600	5591
97	607	5587
98	613	5584
99	620	5585
100	626	5579
101	633	5577
102	641	5590
103	659	5685
104	668	5694
105	674	5687
106	681	5685
107	687	5678
108	693	5671
109	699	5663
110	706	5654
111	712	5645
112	718	5639
113	725	5636
114	731	5628
115	737	5620
116	743	5612
117	750	5609
118	758	5612
119	764	5605
120	770	5597
121	777	5592
122	783	5585
123	790	5581
124	795	5568
125	802	5566
126	808	5558
127	815	5554
128	821	5549
129	828	5542
130	835	5540
131	841	5533
132	847	5527
133	854	5519
134	860	5514
135	867	5508
136	874	5506
137	880	5500
138	886	5494
139	893	5487
140	899	5480
141	905	5473
142	912	5465
143	918	5461
144	925	5455
145	931	5450
146	938	5442
147	944	5435
148	951	5431
149	957	5425
150	964	5421
151	970	5414
152	976	5406
153	983	5403
154	989	5396
155	995	5388
156	1002	5380
157	1008	5372
158	1015	5370
159	1021	5364
160	1027	5357
161	1034	5351
162	1040	5343
163	1047	5339
164	1053	5333
165	1059	5325
166	1067	5322
167	1073	5315
168	1080	5310
169	1086	5302
170	1092	5298
171	1099	5290
172	1105	5282
173	1111	5274
174	1117	5266
175	1123	5259
176	1129	5254
177	1136	5247
178	1142	5240
179	1149	5237
180	1155	5230
181	1162	5224
182	1168	5216
183	1174	5209
184	1181	5203
185	1187	5197
186	1194	5192
187	1201	5188
188	1207	5181
189	1213	5174
190	1220	5167
191	1227	5164
192	1233	5157
193	1239	5150
194	1246	5143
195	1252	5139
196	1259	5131
197	1265	5125
198	1272	5121
199	1278	5114
200	1285	5111
201	1292	5104
202	1298	5098
203	1304	5090
204	1311	5084
205	1317	5076
206	1323	5071
207	1330	5064
208	1336	5057
209	1343	5054
210	1349	5046
211	1355	5039
212	1362	5033
213	1369	5029
214	1375	5021
215	1382	5017
216	1388	5011
217	1395	5005
218	1401	4999
219	1408	4992
220	1414	4985
221	1421	4982
222	1427	4975
223	1434	4968
224	1440	4961
225	1444	4947
226	1451	4941
227	1457	4934
228	1463	4927
229	1470	4921
230	1476	4914
231	1482	4907
232	1488	4901
233	1495	4895
234	1501	4888
235	1507	4881
236	1513	4874
237	1523	4877
238	1529	4871
239	1537	4867
240	1543	4861
241	1550	4855
242	1556	4848
243	1562	4841
244	1568	4834
245	1575	4828
246	1581	4820
247	1588	4815
248	1594	4807
249	1600	4800
250	1606	4793
251	1612	4786
252	1619	4781
253	1626	4776
254	1632	4769
255	1638	4761
256	1644	4755
257	1651	4749
258	1657	4742
259	1663	4735
260	1670	4728
261	1676	4721
262	1683	4717
263	1689	4710
264	1695	4703
265	1702	4696
266	1708	4689
267	1714	4682
268	1720	4675
269	1726	4668
270	1732	4661
271	1738	4653
272	1744	4646
273	1750	4639
274	1757	4632
275	1763	4625
276	1769	4617
277	1775	4610
278	1782	4605
279	1787	4597
280	1793	4590
281	1800	4583
282	1806	4576
283	1812	4570
284	1819	4565
285	1825	4558
286	1832	4552
287	1838	4545
288	1845	4539
289	1851	4532
290	1857	4526
291	1864	4519
292	1870	4512
293	1876	4505
294	1883	4500
295	1890	4495
296	1896	4489
297	1903	4483
298	1909	4477
299	1917	4473
300	1923	4466
301	1929	4459
302	1936	4453
303	1942	4446
304	1948	4440
305	1954	4432
306	1961	4426
307	1967	4420
308	1973	4414
309	1980	4409
310	1987	4403
311	1993	4396
312	2000	4391
313	2006	4384
314	2012	4377
315	2018	4370
316	2025	4363
317	2031	4357
318	2037	4350
319	2043	4343
320	2049	4334
321	2056	4329
322	2062	4322
323	2068	4315
324	2074	4309
325	2081	4302
326	2087	4295
327	2093	4289
328	2099	4282
329	2106	4276
330	2113	4271
331	2119	4264
332	2126	4259
333	2132	4253
334	2140	4249
335	2147	4243
336	2153	4236
337	2159	4229
338	2165	4223
339	2172	4216
340	2177	4209
341	2184	4202
342	2190	4196
343	2197	4189
344	2203	4183
345	2209	4177
346	2216	4170
347	2222	4164
348	2229	4159
349	2235	4152
350	2242	4145
351	2248	4138
352	2254	4132
353	2260	4125
354	2266	4118
355	2273	4112
356	2279	4106
357	2286	4099
358	2293	4095
359	2300	4088
360	2306	4082
361	2312	4075
362	2318	4068
363	2325	4062
364	2331	4056
365	2337	4049
366	2343	4042
367	2350	4035
368	2356	4030
369	2363	4023
370	2369	4016
371	2375	4009
372	2381	4003
373	2387	3996
374	2394	3991
375	2402	3986
376	2408	3979
377	2414	3972
378	2420	3966
